"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Detecting Architecture Debt in Micro-Service Open-Source Projects","R. Capilla; F. A. Fontana; T. Mikkonen; P. Bacchiega; V. Salamanca","Rey Juan Carlos University of Madrid, Madrid, Spain; University of Milano-Bicocca, Milan, Italy; University of Jyväskylä, Jyväskylä, Finland; University of Milano-Bicocca, Milan, Italy; Rey Juan Carlos University, Madrid, Spain","2023 49th Euromicro Conference on Software Engineering and Advanced Applications (SEAA)","1 Jan 2024","2023","","","394","401","A micro-service architecture emphasizes the use of subsystems that are small enough for changing them on the fly. Such architecture supports the continuous evolution of the system because individual services can be updated at different times, making system maintenance flexible. Consequently, the architecturally important properties of micro-services are constituted by service APIs that must be well maintained, with experimental, static, and deprecated versions clearly indicated. Like any software, micro-services can induce technical debt (TD) problems in service API, architecture and source code, if their quality and maintainability have not been asserted beforehand. This paper explores the relationship between TD and micro-services. Specifically, we investigate the role of architectural smells (AS) in open-source micro-service projects, where the architectural debt is principally recognized through the detection of architectural smells in the projects. As tools for this investigation, we used Arcan and Designite. The empirical data for the work is constituted by 20 open-source projects where we analyze the relationship between architecture smells and micro-services.","2376-9521","979-8-3503-4235-2","10.1109/SEAA60479.2023.00066","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10371493","Software architecture;architectural debt;micro-service;architecture smells;technical debt;open source repositories","Java;Computer languages;Source coding;Computer architecture;Maintenance engineering;Software;Software engineering","","","","49","IEEE","1 Jan 2024","","","IEEE","IEEE Conferences"
"Identification of architectural technical debt: An analysis based on naming patterns","P. M. del Carpio","Universidad La Salle, Arequipa, Perú","2016 8th Euro American Conference on Telematics and Information Systems (EATIS)","25 Jul 2016","2016","","","1","8","Hasty software development can produce immediate implementations with source code unnecessarily complex and hardly readable. These small kinds of software decay generate a technical debt that could be big enough to seriously affect future maintenance activities. This work presents an analysis technique for identifying architectural technical debt related to non-uniformity of naming patterns; the technique is based on term frequency over package hierarchies. The proposal has been evaluated on projects of two popular organizations, Apache and Eclipse. The results have shown that most of the projects have frequent occurrences of the proposed naming patterns, and using a graph model and aggregated data could enable the elaboration of simple queries for debt identification. The technique has features that favor its applicability on emergent architectures and agile software development.","","978-1-5090-2436-0","10.1109/EATIS.2016.7520104","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7520104","Architectural technical debt;naming pattern;static analysis","Software;Unified modeling language;Data models;Containers;Maintenance engineering;Proposals;Organizations","","","","","IEEE","25 Jul 2016","","","IEEE","IEEE Conferences"
"Estimating the Principal of an Application's Technical Debt","B. Curtis; J. Sappidi; A. Szynkarski","CAST Software, India; CAST Software, India; CAST Software, India","IEEE Software","22 Oct 2012","2012","29","6","34","42","This article characterizes technical debt across 700 business applications, comprising 357 MLOC. These applications were analyzed against more than 1,200 rules of good architectural and coding practice. The authors present a formula with adjustable parameters for estimating the principal of technical debt from structural quality data.","1937-4194","","10.1109/MS.2012.156","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6336724","technical debt;software structural quality;software metrics;static analysis","Investments;Software measurements;Software quality;Risk management","","80","","11","IEEE","22 Oct 2012","","","IEEE","IEEE Magazines"
"A Proposed Model-Driven Approach to Manage Architectural Technical Debt Life Cycle","B. Perez; D. Correal; H. Astudillo","Systems Engineering Department, Universidad de los Andes, Bogotá, Colombia; Systems Engineering Department, Universidad de los Andes, Bogotá, Colombia; Informatics Department, Univ. Técnica Federico Santa María, Valparaíso, Chile","2019 IEEE/ACM International Conference on Technical Debt (TechDebt)","5 Aug 2019","2019","","","73","77","Architectural Technical Debt (ATD) is a metaphor used to describe consciously decisions taken by software architects to accomplish short-term goals but possibly negatively affecting the long-term health of the system. However, difficulties arise when repayment strategies are defined because software architects need to be aware of the consequences of these strategies over others decisions in the software architecture. This article proposes REBEL, a semi-automated model-driven approach that exploits natural language processing, machine learning and model checking techniques on heterogeneous project artifacts to build a model that allows to locate and visualize the impact produced by the consciously injected ATD and its repayment strategy on the other architectural decisions. The technique is illustrated with a data analytics project in Colombia where software architects are unaware of the consequences of the repayment strategies. This proposal seeks to support teams of architects to make explicit the current and future impact of the ATD injected as a result of decisions taken, focusing on the architectural level rather than code level.","","978-1-7281-3371-3","10.1109/TechDebt.2019.00025","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8786037","Architectural technical debt;Software architecture;Architectural technical debt management;Model-driven architecture","Software;Computer architecture;Proposals;Unified modeling language;Data mining;Software architecture;Modeling","","5","","19","IEEE","5 Aug 2019","","","IEEE","IEEE Conferences"
"Managing Technical Debt Using Intelligent Techniques - A Systematic Mapping Study","D. Albuquerque; E. Guimarães; G. Tonin; P. Rodríguezs; M. Perkusich; H. Almeida; A. Perkusich; F. Chagas","Intelligent Software Engineering Group (ISE/VIRTUS), Federal University of Campina Grande, Campina Grande, PB, Brazil; Pennsylvania State University, Malvern, PA, USA; Federal University of Fronteira Sul, Chapecó, SC, Brazil; Polytechnic University of Madrid, Madrid, Spain; Intelligent Software Engineering Group (ISE/VIRTUS), Federal University of Campina Grande, Campina Grande, PB, Brazil; Intelligent Software Engineering Group (ISE/VIRTUS), Federal University of Campina Grande, Campina Grande, PB, Brazil; Intelligent Software Engineering Group (ISE/VIRTUS), Federal University of Campina Grande, Campina Grande, PB, Brazil; Intelligent Software Engineering Group (ISE/VIRTUS), Federal University of Campina Grande, Campina Grande, PB, Brazil","IEEE Transactions on Software Engineering","18 Apr 2023","2023","49","4","2202","2220","Technical Debt (TD) is a metaphor reflecting technical compromises that can yield short-term benefits but might hurt the long-term health of a software system. With the increasing amount of data generated when performing software development activities, an emergent research field has gained attention: applying Intelligent Techniques to solve Software Engineering problems. Intelligent Techniques were used to explore data for knowledge discovery, reasoning, learning, planning, perception, or supporting decision-making. Although these techniques can be promising, there is no structured understanding related to their application to support Technical Debt Management (TDM) activities. Within this context, this study aims to investigate to what extent the literature has proposed and evaluated solutions based on Intelligent Techniques to support TDM activities. To this end, we performed a Systematic Mapping Study (SMS) to investigate to what extent the literature has proposed and evaluated solutions based on Intelligent Techniques to support TDM activities. In total, 150 primary studies were identified and analyzed, dated from 2012 to 2021. The results indicated a growing interest in applying Intelligent Techniques to support TDM activities, the most used: Machine Learning and Reasoning under uncertainty. Intelligent Techniques aimed to assist mainly TDM activities related to identification, measurement, and monitoring. Design TD, Code TD, and Architectural TD are the TD types in the spotlight. Most studies were categorized at automation levels 1 and 2, meaning that existing approaches still require substantial human intervention. Symbolists and Analogizers are levels of explanation presented by most Intelligent Techniques, implying that these solutions conclude a general truth after considering a sufficient number of particular cases. Moreover, we also cataloged the empirical research types, contributions, and validation strategies described in primary studies. Based on our findings, we argue that there is still room to improve the use of Intelligent Techniques to support TDM activities. The open issues that emerged from this study can represent future opportunities for practitioners and researchers.","1939-3520","","10.1109/TSE.2022.3214764","IFPB employee qualification incentive program(grant numbers:21/2021/PRPIPG); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9919389","Technical debt;intelligent techniques;technical debt management activities;systematic mapping study","Time division multiplexing;Cognition;Codes;Costs;Systematics;Software systems;Knowledge discovery","","2","","58","IEEE","14 Oct 2022","","","IEEE","IEEE Journals"
"Evolution of the Unix System Architecture: An Exploratory Case Study","D. Spinellis; P. Avgeriou","Athens University of Economics and Business, Athina, Greece; University of Groningen, Groningen, Netherlands","IEEE Transactions on Software Engineering","11 Jun 2021","2021","47","6","1134","1163","Unix has evolved for almost five decades, shaping modern operating systems, key software technologies, and development practices. Studying the evolution of this remarkable system from an architectural perspective can provide insights on how to manage the growth of large, complex, and long-lived software systems. Along main Unix releases leading to the FreeBSD lineage we examine core architectural design decisions, the number of features, and code complexity, based on the analysis of source code, reference documentation, and related publications. We report that the growth in size has been uniform, with some notable outliers, while cyclomatic complexity has been religiously safeguarded. A large number of Unix-defining design decisions were implemented right from the very early beginning, with most of them still playing a major role. Unix continues to evolve from an architectural perspective, but the rate of architectural innovation has slowed down over the system's lifetime. Architectural technical debt has accrued in the forms of functionality duplication and unused facilities, but in terms of cyclomatic complexity it is systematically being paid back through what appears to be a self-correcting process. Some unsung architectural forces that shaped Unix are the emphasis on conventions over rigid enforcement, the drive for portability, a sophisticated ecosystem of other operating systems and development organizations, and the emergence of a federated architecture, often through the adoption of third-party subsystems. These findings have led us to form an initial theory on the architecture evolution of large, complex operating system software.","1939-3520","","10.1109/TSE.2019.2892149","European Union's Horizon 2020 Research and Innovation Programme(grant numbers:732223); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8704965","Unix;software architecture;software evolution;architecture design decisions;operating systems","Computer architecture;Complexity theory;Evolution (biology);Linux;Kernel","","6","","142","CCBY","2 May 2019","","","IEEE","IEEE Journals"
"Sustainability Debt: A Portfolio-Based Approach for Evaluating Sustainability Requirements in Architectures","B. Ojameruaye; R. Bahsoon; L. Duboc","University of Birmingham, Birmingham, United Kingdom; Computer Science, State University of Rio de, Janeiro, Brazil; University of Birmingham, Birmingham, United Kingdom","2016 IEEE/ACM 38th International Conference on Software Engineering Companion (ICSE-C)","23 Mar 2017","2016","","","543","552","Architectural Sustainability refers to the ability of an architecture to achieve its goals while sustaining its value on dimensions related to environmental, social, economic, individual and/or technical during its operation and evolution. While the process of architectural design implies a fit between the requirements, system conditions and constraints; incomplete information and uncertainty may increase the cost of the architecture, introduce risks, alter its value and influence the extent to which it can evolve and sustain. We propose an economics-driven architectural evaluation method which extends the Cost Benefits Analysis Method (CBAM) and integrates principles of modern portfolio theory to control the risks when linking sustainability concern to architectural design decisions. The method aims at identifying portfolio(s) of architecture design decisions which are more promising for adding/delivering value while reducing risk on the sustainability dimensions. The method quantifies the sustainability debt of these decisions. The ultimate goal is to develop an objective decision-support framework for reasoning about sustainability requirements in relation architecture decisions in the presence of uncertainty. We evaluate the approach with an Emergency Deployment System (EDS). The results show that the method can make the value, cost and risks of architectural design decisions and sustainability requirements explicit.","","978-1-4503-4205-6","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7883342","Sustainability;Architecture;Debt;Technical Debt;Requirements","Computer architecture;Portfolios;Uncertainty;Software systems;Economics;Cognition","","","","23","","23 Mar 2017","","","IEEE","IEEE Conferences"
"DV8: Automated Architecture Analysis Tool Suites","Y. Cai; R. Kazman","Department of Computer Science, Drexel University, Philadelphia, USA; Dept. of Information Technology Management, University of Hawaii, Honolulu, USA","2019 IEEE/ACM International Conference on Technical Debt (TechDebt)","5 Aug 2019","2019","","","53","54","This paper present our tool suite called DV8. The objective of DV8 is to measure software modularity, detect architecture anti-patterns as technical debts, quantify the maintenance cost of each instance of an anti-pattern, and enable return on investment analyses of architectural debts. Different from other tools, DV8 integrates data from both source code and revision history. We now elaborate on each of DV8's capabilities.","","978-1-7281-3371-3","10.1109/TechDebt.2019.00015","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8786011","Software Architecture, Software Quality, Software Maintenance","Computer architecture;Maintenance engineering;Software engineering;Tools;Software;History;Software measurement","","10","","15","IEEE","5 Aug 2019","","","IEEE","IEEE Conferences"
"A Systematic Literature Review and a Unified Model of ATD","T. Besker; A. Martini; J. Bosch","Computer Science and Engineering, Chalmers University of Technology, Göteborg, Sweden; Computer Science and Engineering, Chalmers University of Technology, Göteborg, Sweden; Computer Science and Engineering, Chalmers University of Technology, Göteborg, Sweden","2016 42th Euromicro Conference on Software Engineering and Advanced Applications (SEAA)","18 Oct 2016","2016","","","189","197","Fast software deliveries are hindered by high maintenance efforts due to internal quality issues and Technical Debt (TD) and specifically, Architectural Technical Debt (ATD) has received increased attention in the last few years. ATD has a significant influence and impact on system success and, left unchecked, it can cause expensive repercussions, it is, therefore, of maintenance and evolutionary importance to understand the basic underlying factors of ATD. Thus, with this as background, there is a need for a descriptive model to illustrate and explain the different ATD issues. The aim of this study is to synthesize and compile research efforts with the goal of creating new knowledge with a specific interest in the ATD field. The contribution of this paper is the presentation of a novel descriptive model, providing a comprehensive interpretation of the ATD phenomenon. This model categorizes the main characteristics of ATD and reveals their corresponding relations. The model is based on a systematic literature review (SLR) of currently recognized knowledge concerning ATD.","2376-9505","978-1-5090-2820-7","10.1109/SEAA.2016.42","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7592796","Systematic literature review;Architectural Technical Debt;Software Maintenance;Software Architecture","Software engineering","","36","","41","IEEE","18 Oct 2016","","","IEEE","IEEE Conferences"
"Toward a Technical Debt Conceptualization for Serverless Computing","V. Lenarduzzi; J. Daly; A. Martini; S. Panichella; D. A. Tamburri","LUT University; Consultant; University of Oslo; Zurich University of Applied Science; Jheronimus Academy of Data Science, Eindhoven University of Technology","IEEE Software","23 Dec 2020","2021","38","1","40","47","Serverless computing aims at reducing processing and operational units to single event-driven functions. It is bound to face considerable architectural issues and challenges. Are these bound to become technical debt? What does technical debt mean and how is it expressed in serverless computing models?","1937-4194","","10.1109/MS.2020.3030786","European Commission(grant numbers:Grant 0421 (Interreg ICT),Werkinzicht; Grant 787061 (H2020); Grant 825040 (H2020); Grant 825480 (H2020)); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9222009","","Cloud computing;Software testing;Servers;FAA;Computational modeling","","12","","15","IEEE","13 Oct 2020","","","IEEE","IEEE Magazines"
"Exploring the Presence of Technical Debt in Industrial GUI-Based Testware: A Case Study","E. Alégroth; M. Steiner; A. Martini","Department of Computer Science and Engineering, Chalmers University of Technology, Göteborg, Sweden; Department of Computer Science and Engineering, Chalmers University of Technology, Göteborg, Sweden; Department of Computer Science and Engineering, Chalmers University of Technology, Göteborg, Sweden","2016 IEEE Ninth International Conference on Software Testing, Verification and Validation Workshops (ICSTW)","4 Aug 2016","2016","","","257","262","Technical debt (TD) is a concept used to describe a sub-optimal solution of a software artifact that negatively affects its comprehensibility, extendability and maintainability. As such, TD adversely affects the costs or quality associated with the artifact, which is also called interest. TD has through research been identified in all types of software artifacts, from architectural design to automated tests (Testware). However, research into testware technical debt (TTD) is limited and primarily focused on testing on lower level of system abstraction, i.e. unit-and integration tests, leaving a need for more TTD research on GUI-based testing. In this study we explore this gap in knowledge through an industrial case study at a Swedish avionics software development company. Four repositories are studied for the presence of TTD using expert interviews, semi-automated document analysis and automatic metric analysis. Results of the study provide initial support that the concept of TTD is applicable to GUI-based testware and show the presence of both TD items unique to GUI-based testware and items common to software. The implications of these results are that engineering best practices must be established for GUI-based testware to minimize TD interest.","","978-1-5090-3674-5","10.1109/ICSTW.2016.47","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7528970","Technical debt;Testware;GUI-based testing;Industrial case study","Companies;Complexity theory;Testing;Software;Interviews;Measurement;Graphical user interfaces","","7","","24","IEEE","4 Aug 2016","","","IEEE","IEEE Conferences"
"Comprehending the Use of Intelligent Techniques to Support Technical Debt Management","D. Albuquerque; E. Guimaraes; G. Tonin; M. Perkusich; H. Almeida; A. Perkusich","Federal University of Campina Grande (UFCG), Campina Grande, Brazil; The Pennsylvania State University, Malvern, Pennsylvania, USA; Federal University of Fronteira Sul (UFFS), Chapecó, Brazil; Federal University of Campina Grande (UFCG), Campina Grande, Brazil; Federal University of Campina Grande (UFCG), Campina Grande, Brazil; Federal University of Campina Grande (UFCG), Campina Grande, Brazil","2022 IEEE/ACM International Conference on Technical Debt (TechDebt)","27 Jun 2022","2022","","","21","30","Technical Debt (TD) refers to the consequences of taking shortcuts when developing software. Technical Debt Management (TDM) becomes complex since it relies on a decision process based on multiple and heterogeneous data, which are not straightforward to be synthesized. In this context, there is a promising opportunity to use Intelligent Techniques to support TDM activities since these techniques explore data for knowledge discovery, reasoning, learning, or supporting decision-making. Although these techniques can be used for improving TDM activities, there is no empirical study exploring this research area. This study aims to identify and analyze solutions based on Intelligent Techniques employed to sup-port TDM activities. A Systematic Mapping Study was performed, covering publications between 2010 and 2020. From 2276 extracted studies, we selected 111 unique studies. We found a positive trend in applying Intelligent Techniques to support TDM activities, being Machine Learning, Reasoning Under Uncertainty, and Natu-ral Language Processing the most recurrent ones. Identification, measurement, and monitoring were the more recurrent TDM ac-tivities, whereas Design, Code, and Architectural were the most frequently investigated TD types. Although the research area is up-and-coming, it is still in its infancy, and this study provides a baseline for future research.","","978-1-4503-9304-1","10.1145/3524843.3528097","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9804504","Technical Debt;Intelligent Techniques;Systematic Mapping Study;Technical Debt Management","Uncertainty;Systematics;Decision making;Machine learning;Time division multiplexing;Market research;Knowledge discovery","","2","","35","","27 Jun 2022","","","IEEE","IEEE Conferences"
"Hands-On Software Architecture with Java: Learn key architectural techniques and strategies to design efficient and elegant Java applications","G. Bonocore",NA,"Hands-On Software Architecture with Java: Learn key architectural techniques and strategies to design efficient and elegant Java applications","","2022","","","","","Build robust and scalable Java applications by learning how to implement every aspect of software architectureKey FeaturesUnderstand the fundamentals of software architecture and build production-grade applications in JavaMake smart architectural decisions with comprehensive coverage of various architectural approaches from SOA to microservicesGain an in-depth understanding of deployment considerations with cloud and CI/CD pipelinesBook DescriptionWell-written software architecture is the core of an efficient and scalable enterprise application. Java, the most widespread technology in current enterprises, provides complete toolkits to support the implementation of a well-designed architecture. This book starts with the fundamentals of architecture and takes you through the basic components of application architecture. You'll cover the different types of software architectural patterns and application integration patterns and learn about their most widespread implementation in Java. You'll then explore cloud-native architectures and best practices for enhancing existing applications to better suit a cloud-enabled world. Later, the book highlights some cross-cutting concerns and the importance of monitoring and tracing for planning the evolution of the software, foreseeing predictable maintenance, and troubleshooting. The book concludes with an analysis of the current status of software architectures in Java programming and offers insights into transforming your architecture to reduce technical debt. By the end of this software architecture book, you'll have acquired some of the most valuable and in-demand software architect skills to progress in your career.What you will learnUnderstand the importance of requirements engineering, including functional versus non-functional requirementsExplore design techniques such as domain-driven design, test-driven development (TDD), and behavior-driven developmentDiscover the mantras of selecting the right architectural patterns for modern applicationsExplore different integration patternsEnhance existing applications with essential cloud-native patterns and recommended practicesAddress cross-cutting considerations in enterprise applications regardless of architectural choices and application typeWho this book is forThis book is for Java software engineers who want to become software architects and learn everything a modern software architect needs to know. The book is also for software architects, technical leaders, vice presidents of software engineering, and CTOs looking to extend their knowledge and stay up to date with the latest developments in the field of software architecture.","","9781800206144","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10162259.pdf&bkn=10162258&pdfType=book","","","","","","","","27 Jun 2023","","","Packt Publishing","Packt Publishing eBooks"
"Identification of Refused Bequest Code Smells","E. Ligu; A. Chatzigeorgiou; T. Chaikalis; N. Ygeionomakis","Department of Applied Informatics, University of Macedonia, Thessaloniki, Greece; Department of Applied Informatics, University of Macedonia, Thessaloniki, Greece; Department of Applied Informatics, University of Macedonia, Thessaloniki, Greece; Department of Applied Informatics, University of Macedonia, Thessaloniki, Greece","2013 IEEE International Conference on Software Maintenance","2 Dec 2013","2013","","","392","395","Accumulated technical debt can be alleviated by means of refactoring application aiming at architectural improvement. A prerequisite for wide scale refactoring application is the automated identification of the corresponding refactoring opportunities, or code smells. One of the major architectural problems that has received limited attention is the so called 'Refused Bequest' which refers to inappropriate use of inheritance in object-oriented systems. This code smell occurs when subclasses do not take advantage of the inherited behavior, implying that replacement by delegation should be used instead. In this paper we propose a technique for the identification of Refused Bequest code smells whose major novelty lies in the intentional introduction of errors in the inherited methods. The essence of inheritance is evaluated by exercising the system's functionality through the corresponding unit tests in order to reveal whether inherited methods are actually employed by clients. Based on the results of this approach and other structural information, an indication of the smell strength on a 'thermometer' is obtained. The proposed approach has been implemented as an Eclipse plug in.","1063-6773","978-0-7695-4981-1","10.1109/ICSM.2013.55","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6676915","software maintenance;refactoring;code smell;Refused Bequest","Abstracts;Software maintenance;Europe;Educational institutions;Maintenance engineering;Software systems","","21","","11","IEEE","2 Dec 2013","","","IEEE","IEEE Conferences"
"Architecture-Based Quality Attribute Synergies and Conflicts","B. Boehm","National Research Tomsk State University, Tomsk, Russian Federation","2015 IEEE/ACM 2nd International Workshop on Software Architecture and Metrics","3 Aug 2015","2015","","","29","34","Large or critical software projects often identify particularly-critical quality attributes (QAs), often called non-functional requirements or ilities, and organize Integrated Product Teams (IPTs) to address them. Frequently, the resulting IPT solutions include architectural decisions that address the QA of interest, but seriously conflict with other QAs which are also important but less-well analyzed. These conflicts will often become major sources of significant technical debt and expensive architectural breakage to rectify. As the QA of interest also has synergies with other QAs, the rectification needs to be careful not to undo the synergies. This paper summarizes recent research to develop QA synergies and conflicts matrices that can be used by software system engineers to identify potential areas of concern in balancing a system's QAs.","","978-1-4673-7076-9","10.1109/SAM.2015.18","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7174846","quality attributes; non-functional requirements; ilities; synergies; conflicts; software architecture; architecture breakage; technical debt","Interoperability;Computer architecture;Software;Stakeholders;Reliability engineering;Security","","7","","8","IEEE","3 Aug 2015","","","IEEE","IEEE Conferences"
"The Perception of Architectural Smells in Industrial Practice","D. Sas; I. Pigazzini; P. Avgeriou; F. A. Fontana",University of Groningen; University of Milano–Bicocca; University of Groningen; University of Milano–Bicocca,"IEEE Software","25 Oct 2021","2021","38","6","35","41","Architectural technical debt (TD) is the most significant type of TD in industrial practice. Our goals in this study were to better understand the phenomenon of architectural smells, help practitioners better manage them, and offer relevant support to researchers.","1937-4194","","10.1109/MS.2021.3103664","H2020 European Institute of Innovation and Technology(grant numbers:780572); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9509940","","Maintenance engineering;Java;Companies;Reliability;Software testing;System recovery;Management;Costs","","2","","10","IEEE","10 Aug 2021","","","IEEE","IEEE Magazines"
"SPARTA: Security & Privacy Architecture Through Risk-Driven Threat Assessment","L. Sion; D. Van Landuyt; K. Yskout; W. Joosen","Imec-DistriNet, KU Leuven, Heverlee, Belgium; Imec-DistriNet, KU Leuven, Heverlee, Belgium; Imec-DistriNet, KU Leuven, Heverlee, Belgium; Imec-DistriNet, KU Leuven, Heverlee, Belgium","2018 IEEE International Conference on Software Architecture Companion (ICSA-C)","13 Aug 2018","2018","","","89","92","The development of secure and privacy-preserving software systems entails the continuous consideration of the security and privacy aspects of the system under development. While contemporary software development practices do support such a continuous approach towards software development, existing threat modeling activities are commonly executed as single-shot efforts leading to a single, historic, and quickly obsolete view on the security and privacy of the system. This disconnect leads to undetected new issues and wasted efforts on already resolved problems, effectively accruing technical debt. The presented SPARTA prototype facilitates the consideration of security and privacy by providing support for: (i) capturing security and privacy design decisions in a DFD-based architectural abstraction, (ii) continuous threat elicitation on this knowledge-enriched abstraction, and (iii) risk analysis of the elicited threats for prioritizing security and privacy efforts. By capturing and continuously assessing the impact of security and privacy design decisions on the elicited threats, the progress towards securing the system can be assessed and alternatives can be compared, taking into account past and present design decisions.","","978-1-5386-6585-5","10.1109/ICSA-C.2018.00032","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8432187","Security;Privacy;Threat modeling;Risk analysis;Secure design","Security;Privacy;Risk analysis;Analytical models;Tools;Monte Carlo methods;Data models","","26","","29","IEEE","13 Aug 2018","","","IEEE","IEEE Conferences"
"Compiling static software metrics for reliability and maintainability from GitHub repositories","J. Ludwig; S. Xu; F. Webber","Stottler Henke Associates, Inc., San Mateo, CA; Stottler Henke Associates, Inc., San Mateo, CA; Air Force Research Laboratory, WPAFB, OH","2017 IEEE International Conference on Systems, Man, and Cybernetics (SMC)","30 Nov 2017","2017","","","5","9","This paper identifies a small, essential set of static software code metrics linked to the software product quality characteristics of reliability and maintainability and to the most commonly identified sources of technical debt. A plug-in is created for the Understand code visualization and static analysis tool that calculates and aggregates the metrics. The plug-in produces a high-level interactive html report as well as developer-level information needed to address quality issues using Understand. A script makes use of Git, Understand, and the plug-in to compile results for a list of GitHub repositories into a single file. The primary contribution of this work is to describe an open-source plug-in to measure and visualize architectural complexity based on the propagation cost and core size metrics, which are not currently found in other tools. The plug-in should be useful to researchers and practitioners interested in these two metrics and as an expedient starting point to experimentation with metric collection and aggregation for groups of GitHub repositories. The plug-in was developed as a first step in an ongoing project aimed at applying case-based reasoning to the issue of software product quality.","","978-1-5386-1645-1","10.1109/SMC.2017.8122569","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8122569","software product quality;technical debt;reliability;maintainability;architecture;metrics;static code analysis","Measurement;Complexity theory;Software quality;Tools;Software reliability","","8","","27","IEEE","30 Nov 2017","","","IEEE","IEEE Conferences"
"A Position Study to Investigate Technical Debt Associated with Security Weaknesses","C. Izurieta; K. Kimball; D. Rice; T. Valentien","Montana State University Bozeman, MT, USA; Montana State University Bozeman, MT, USA; Georgia College & State University Milledgeville, GA, USA; Georgia Institute of Technology Atlanta, GA, USA","2018 IEEE/ACM International Conference on Technical Debt (TechDebt)","30 Dec 2018","2018","","","138","142","Context: Managing technical debt (TD) associated with potential security breaches found during design can lead to catching vulnerabilities (i.e., exploitable weaknesses) earlier in the software lifecycle; thus, anticipating TD principal and interest that can have decidedly negative impacts on businesses. Goal: To establish an approach to help assess TD associated with security weaknesses by leveraging the Common Weakness Enumeration (CWE) and its scoring mechanism, the Common Weakness Scoring System (CWSS). Method: We present a position study with a five-step approach employing the Quamoco quality model to operationalize the scoring of architectural CWEs. Results: We use static analysis to detect design level CWEs, calculate their CWSS scores, and provide a relative ranking of weaknesses that help practitioners identify the highest risks in an organization with a potential to impact TD. Conclusion: CWSS is a community agreed upon method that should be leveraged to help inform the ranking of security related TD items.","","978-1-4503-5713-5","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8595115","quality assurance;software quality;technical debt","Security;Software;Software measurement;Tools;Static analysis;Companies","","8","","24","","30 Dec 2018","","","IEEE","IEEE Conferences"
"Microservices smell detection through dynamic analysis","P. Bacchiega; I. Pigazzini; F. A. Fontana","University of Milano - Bicocca, Milano, Italy; University of Milano - Bicocca, Milano, Italy; University of Milano - Bicocca, Milano, Italy","2022 48th Euromicro Conference on Software Engineering and Advanced Applications (SEAA)","16 Jan 2023","2022","","","290","293","The past few years saw the rise of microservices studies and best practices, along with wide industrial adoption of this architectural style. We now witness the birth of another challenging topic: microservices quality. Like other kinds of architectures, also microservices suffer from erosion and technical debt, whose symptoms can be the appearance of microservices smells, which impact negatively on the system’s quality, by hindering, for example, its maintainability. In this paper we propose a tool called Aroma, to reconstruct microservices architectures and detect microservices smells, based on the dynamic analysis of microservices execution traces. We describe the main features of the tool, the strategies adopted for microservice smells detection and the first preliminary experimentation.","","978-1-6654-6152-8","10.1109/SEAA56994.2022.00052","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10011206","Microservices architecture reconstruction;Microservices smells;Technical debt;Dynamic analysis;Graph representation","Microservice architectures;Computer architecture;Feature extraction;Best practices;Software engineering","","5","","16","IEEE","16 Jan 2023","","","IEEE","IEEE Conferences"
